# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 3.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
24              	6.23606878e-02	3.06611527e-02	3.16995352e-02	2.07676507e-02	6.11202590e-01	-5.90434939e-01	6.00818765e-01	-5.19191267e-04	1.55901720e-03	-4.77313214e-17	1.55901720e-03	-1.55901720e-03
25              	7.04388232e-02	3.49313476e-02	3.55074756e-02	1.15225607e-02	6.33978481e-01	-6.22455920e-01	6.28217200e-01	-2.88064018e-04	1.76097058e-03	-3.93436193e-17	1.76097058e-03	-1.76097058e-03
26              	7.03202212e-02	3.51613161e-02	3.51589050e-02	-4.82217613e-05	6.61270314e-01	-6.61318536e-01	6.61294425e-01	1.20554403e-06	1.75800553e-03	-2.83971346e-17	1.75800553e-03	-1.75800553e-03
27              	6.27141565e-02	3.16415701e-02	3.10725863e-02	-1.13796758e-02	6.80967533e-01	-6.92347209e-01	6.86657371e-01	2.84491896e-04	1.56785391e-03	-1.62180725e-17	1.56785391e-03	-1.56785391e-03
28              	5.07786340e-02	2.58647443e-02	2.49138897e-02	-1.90170922e-02	6.89391481e-01	-7.08408573e-01	6.98900027e-01	4.75427306e-04	1.26946585e-03	-5.25802986e-18	1.26946585e-03	-1.26946585e-03
29              	4.07851355e-02	2.10690912e-02	1.97160443e-02	-2.70609384e-02	6.71921849e-01	-6.98982787e-01	6.85452318e-01	6.76523460e-04	1.01962839e-03	7.27095375e-19	1.01962839e-03	-1.01962839e-03
30              	3.21034032e-02	1.68874815e-02	1.52159217e-02	-3.34311950e-02	6.29771237e-01	-6.63202432e-01	6.46486835e-01	8.35779874e-04	8.02585081e-04	3.79956383e-18	8.02585081e-04	-8.02585081e-04
31              	2.73693326e-02	1.46523402e-02	1.27169924e-02	-3.87069546e-02	5.70305263e-01	-6.09012217e-01	5.89658740e-01	9.67673865e-04	6.84233315e-04	4.36521607e-18	6.84233315e-04	-6.84233315e-04
32              	2.48237627e-02	1.34518787e-02	1.13718840e-02	-4.15998946e-02	4.93423639e-01	-5.35023534e-01	5.14223586e-01	1.03999737e-03	6.20594068e-04	3.24926290e-18	6.20594068e-04	-6.20594068e-04
33              	2.48934690e-02	1.35435891e-02	1.13498799e-02	-4.38741838e-02	4.10312082e-01	-4.54186266e-01	4.32249174e-01	1.09685460e-03	6.22336725e-04	1.52773123e-18	6.22336725e-04	-6.22336725e-04
34              	2.72515089e-02	1.47659036e-02	1.24856054e-02	-4.56059642e-02	3.23420632e-01	-3.69026596e-01	3.46223614e-01	1.14014911e-03	6.81287723e-04	-2.89781161e-19	6.81287723e-04	-6.81287723e-04
35              	3.06077881e-02	1.64928456e-02	1.41149425e-02	-4.75580621e-02	2.39071019e-01	-2.86629082e-01	2.62850051e-01	1.18895155e-03	7.65194704e-04	-1.96902511e-18	7.65194704e-04	-7.65194704e-04
36              	3.39620521e-02	1.82150093e-02	1.57470428e-02	-4.93593299e-02	1.65670553e-01	-2.15029883e-01	1.90350218e-01	1.23398325e-03	8.49051304e-04	-3.12229437e-18	8.49051304e-04	-8.49051304e-04
37              	3.57516127e-02	1.92215724e-02	1.65300402e-02	-5.38306444e-02	1.00368942e-01	-1.54199586e-01	1.27284264e-01	1.34576611e-03	8.93790317e-04	-3.56467857e-18	8.93790317e-04	-8.93790317e-04
38              	3.72064621e-02	2.00915516e-02	1.71149105e-02	-5.95328230e-02	4.01464067e-02	-9.96792297e-02	6.99128182e-02	1.48832058e-03	9.30161553e-04	-3.87661301e-18	9.30161553e-04	-9.30161553e-04
39              	3.78198381e-02	2.05688018e-02	1.72510363e-02	-6.63553107e-02	-1.39658637e-02	-5.23894470e-02	1.92117916e-02	1.65888277e-03	9.45495952e-04	-4.25204217e-18	9.45495952e-04	-9.45495952e-04
40              	3.78333532e-02	2.07652174e-02	1.70681359e-02	-7.39416299e-02	-6.36414752e-02	-1.03001547e-02	-2.66706602e-02	1.84854075e-03	9.45833831e-04	-4.67740180e-18	9.45833831e-04	-9.45833831e-04
41              	3.70192637e-02	2.05917119e-02	1.64275519e-02	-8.32832000e-02	-1.15374373e-01	3.20911729e-02	-7.37327729e-02	2.08208000e-03	9.25481593e-04	-5.09862776e-18	9.25481593e-04	-9.25481593e-04
42              	3.64578008e-02	2.05731173e-02	1.58846835e-02	-9.37686768e-02	-1.70483629e-01	7.67149518e-02	-1.23599290e-01	2.34421692e-03	9.11445019e-04	-5.53284312e-18	9.11445019e-04	-9.11445019e-04
43              	3.61980298e-02	2.07135861e-02	1.54844437e-02	-1.04582849e-01	-2.26785970e-01	1.22203121e-01	-1.74494546e-01	2.61457124e-03	9.04950745e-04	-5.90254842e-18	9.04950745e-04	-9.04950745e-04
44              	3.56560734e-02	2.07639217e-02	1.48921517e-02	-1.17435400e-01	-2.86587571e-01	1.69152171e-01	-2.27869871e-01	2.93588500e-03	8.91401836e-04	-6.18100644e-18	8.91401836e-04	-8.91401836e-04
45              	3.47314508e-02	2.06612783e-02	1.40701725e-02	-1.31822116e-01	-3.46532312e-01	2.14710196e-01	-2.80621254e-01	3.29555291e-03	8.68286270e-04	-5.96743527e-18	8.68286270e-04	-8.68286270e-04
46              	3.35622181e-02	2.04214011e-02	1.31408170e-02	-1.45611682e-01	-3.97898078e-01	2.52286396e-01	-3.25092237e-01	3.64029204e-03	8.39055453e-04	-5.39580381e-18	8.39055453e-04	-8.39055453e-04
47              	3.23141932e-02	2.01159658e-02	1.21982273e-02	-1.58354769e-01	-4.37283716e-01	2.78928947e-01	-3.58106332e-01	3.95886923e-03	8.07854829e-04	-4.61816074e-18	8.07854829e-04	-8.07854829e-04
48              	3.14103010e-02	1.99808941e-02	1.14294069e-02	-1.71029744e-01	-4.65427247e-01	2.94397503e-01	-3.79912375e-01	4.27574360e-03	7.85257524e-04	-3.73083019e-18	7.85257524e-04	-7.85257524e-04
49              	3.05714423e-02	1.97692979e-02	1.08021444e-02	-1.79343069e-01	-4.81316974e-01	3.01973904e-01	-3.91645439e-01	4.48357673e-03	7.64286058e-04	-3.84492124e-18	7.64286058e-04	-7.64286058e-04
50              	3.02168201e-02	2.00014974e-02	1.02153227e-02	-1.95723493e-01	-4.93160667e-01	2.97437174e-01	-3.95298920e-01	4.89308732e-03	7.55420502e-04	-3.33371745e-18	7.55420502e-04	-7.55420502e-04
51              	2.96493115e-02	1.99722600e-02	9.67705151e-03	-2.05904170e-01	-5.00685571e-01	2.94781401e-01	-3.97733486e-01	5.14760426e-03	7.41232788e-04	-3.62717161e-18	7.41232788e-04	-7.41232788e-04
52              	2.91687554e-02	2.00285397e-02	9.14021563e-03	-2.17766482e-01	-5.00351840e-01	2.82585358e-01	-3.91468599e-01	5.44416205e-03	7.29218884e-04	-3.84579721e-18	7.29218884e-04	-7.29218884e-04
53              	2.86708234e-02	2.01114153e-02	8.55940814e-03	-2.31040142e-01	-4.90383286e-01	2.59343143e-01	-3.74863215e-01	5.77600356e-03	7.16770585e-04	-4.05876758e-18	7.16770585e-04	-7.16770585e-04
