# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 3.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
70              	5.10147120e+00	2.54780028e+00	2.55367092e+00	2.18014788e+00	-1.87044959e-01	2.36719284e+00	-1.27711890e+00	-2.93531676e-03	-1.19873948e-03	-4.19071310e-02	-2.21523050e-02	-1.97548260e-02
71              	6.21883662e+00	3.10143854e+00	3.11739808e+00	1.73365272e+00	1.13255321e-01	1.62039740e+00	-7.53571041e-01	-7.97976735e-03	-8.34028360e-03	-4.27516110e-02	-2.97160891e-02	-1.30355219e-02
72              	7.15525285e+00	3.56838371e+00	3.58686914e+00	1.48427711e+00	3.44542178e-01	1.13973493e+00	-3.97596379e-01	-9.24271768e-03	-1.49669585e-02	-4.41620398e-02	-3.70479784e-02	-7.11406136e-03
73              	7.85886695e+00	3.92261266e+00	3.93625429e+00	1.47115445e+00	4.80214132e-01	9.90940315e-01	-2.55363092e-01	-6.82081327e-03	-1.98655988e-02	-4.45979350e-02	-4.21645663e-02	-2.43336875e-03
74              	8.33457056e+00	4.16401488e+00	4.17055568e+00	1.75412214e+00	4.62031838e-01	1.29209030e+00	-4.15029234e-01	-3.27039731e-03	-2.18115888e-02	-4.36897854e-02	-4.36564815e-02	-3.33039267e-05
75              	8.59889749e+00	4.29912109e+00	4.29977640e+00	2.27320837e+00	3.10714688e-01	1.96249368e+00	-8.25889498e-01	-3.27653743e-04	-2.38174463e-02	-4.41307397e-02	-4.58828161e-02	1.75207641e-03
76              	8.66248146e+00	4.33333935e+00	4.32914211e+00	2.82754241e+00	9.83305356e-02	2.72921187e+00	-1.31544067e+00	2.09862109e-03	-2.38028623e-02	-4.25320918e-02	-4.50689082e-02	2.53681635e-03
77              	8.52988812e+00	4.26914443e+00	4.26074368e+00	3.17093506e+00	-1.05915130e-01	3.27685019e+00	-1.69138266e+00	4.20037474e-03	-2.20633976e-02	-3.90450057e-02	-4.15859004e-02	2.54089469e-03
78              	8.20022807e+00	4.10610144e+00	4.09412664e+00	3.22373241e+00	-2.83429282e-01	3.50716169e+00	-1.89529549e+00	5.98740104e-03	-1.83690710e-02	-3.26717585e-02	-3.47049503e-02	2.03319176e-03
79              	7.70675599e+00	3.86035124e+00	3.84640475e+00	3.01408375e+00	-4.30280216e-01	3.44436397e+00	-1.93732209e+00	6.97324658e-03	-1.48992034e-02	-2.60335459e-02	-2.79159763e-02	1.88243044e-03
