# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
49              	4.75903463e-03	2.37915875e-03	2.37987589e-03	-8.55986604e-03	-1.94249700e-03	-6.61736905e-03	2.33743603e-03	-3.58570446e-07	-2.77541033e-09	1.29134891e-09	-2.12973588e-09	3.42108478e-09
50              	4.75847163e-03	2.37888917e-03	2.37958246e-03	-8.59447420e-03	-1.95075123e-03	-6.64372296e-03	2.34648586e-03	-3.46647349e-07	2.02356889e-09	1.26470199e-09	2.65591988e-09	-1.39121789e-09
51              	4.75727722e-03	2.37829646e-03	2.37898076e-03	-8.63146540e-03	-1.95975022e-03	-6.67171518e-03	2.35598248e-03	-3.42150623e-07	6.42646646e-09	1.23788248e-09	7.04540770e-09	-5.80752522e-09
52              	4.75569825e-03	2.37750548e-03	2.37819278e-03	-8.66892605e-03	-1.96915039e-03	-6.69977565e-03	2.36531263e-03	-3.43648804e-07	1.01556827e-08	1.21157829e-09	1.07614718e-08	-9.54989356e-09
53              	4.75400277e-03	2.37665290e-03	2.37734987e-03	-8.70485168e-03	-1.97853661e-03	-6.72631506e-03	2.37388922e-03	-3.48485795e-07	1.30010616e-08	1.18735311e-09	1.35947382e-08	-1.24073851e-08
54              	4.75239675e-03	2.37584705e-03	2.37654970e-03	-8.73965086e-03	-1.98783290e-03	-6.75181795e-03	2.38199252e-03	-3.51320316e-07	1.46630524e-08	1.16425553e-09	1.52451801e-08	-1.40809246e-08
55              	4.75103321e-03	2.37516510e-03	2.37586811e-03	-8.77295839e-03	-1.99699847e-03	-6.77595993e-03	2.38948073e-03	-3.51501171e-07	1.51637172e-08	1.14765461e-09	1.57375445e-08	-1.45898899e-08
56              	4.74995559e-03	2.37463031e-03	2.37532527e-03	-8.80516431e-03	-2.00609772e-03	-6.79906659e-03	2.39648443e-03	-3.47479749e-07	1.46402063e-08	1.13467837e-09	1.52075454e-08	-1.40728671e-08
57              	4.74915299e-03	2.37423850e-03	2.37491450e-03	-8.83710535e-03	-2.01528200e-03	-6.82182335e-03	2.40327068e-03	-3.37998421e-07	1.32428426e-08	1.12237270e-09	1.38040289e-08	-1.26816562e-08
58              	4.74860824e-03	2.37398187e-03	2.37462637e-03	-8.86959889e-03	-2.02470316e-03	-6.84489572e-03	2.41009628e-03	-3.22252393e-07	1.11091446e-08	1.11045547e-09	1.16643723e-08	-1.05539168e-08
